
Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 11:58:12 2020
Timers Off: Wed Feb  5 11:58:14 2020

Wall Time:        1.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|Q)^-1                        :      0.033u      0.000s      0.021w      1 calls
JK: (Q|mn)^L                        :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)^R                        :      0.000u      0.000s      0.003w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.200u      0.000s      0.119w      1 calls
SAD Guess                           :      0.183u      0.000s      0.111w      1 calls
HF: Form G                          :      1.767u      0.000s      1.075w      8 calls
UV: Form V                          :      1.750u      0.000s      1.067w      8 calls
Properties                          :      0.283u      0.000s      0.154w   5736 calls
Functional                          :      1.117u      0.000s      0.732w   5736 calls
V_xc                                :      0.317u      0.000s      0.168w   5736 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.017u      0.000s      0.007w      8 calls
JK: J                               :      0.000u      0.000s      0.000w      8 calls
JK: J1                              :      0.000u      0.000s      0.000w     16 calls
JK: J2                              :      0.000u      0.000s      0.000w     16 calls
JK: K                               :      0.017u      0.000s      0.002w      8 calls
JK: K1                              :      0.017u      0.000s      0.002w     16 calls
JK: K2                              :      0.000u      0.000s      0.000w     16 calls
JK: wK                              :      0.000u      0.000s      0.004w     16 calls
JK: wK1                             :      0.000u      0.000s      0.004w     64 calls
JK: wK2                             :      0.000u      0.000s      0.000w     32 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.003w      7 calls
DIISManager::add_entry              :      0.000u      0.000s      0.000w      7 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.000w      7 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      7 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      7 calls
New vector                          :      0.000u      0.000s      0.000w      7 calls
HF: Form C                          :      0.000u      0.000s      0.001w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.050u      0.000s      0.030w      1 calls
JK: (A|mn)                          :      0.000u      0.000s      0.004w      1 calls
JK: (A|Q)^-1/2                      :      0.033u      0.000s      0.021w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)^L                        :      0.000u      0.000s      0.002w      1 calls
JK: (A|Q)^-1                        :      0.033u      0.000s      0.021w      1 calls
JK: (Q|mn)^L                        :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)^R                        :      0.000u      0.000s      0.003w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.000w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.200u      0.000s      0.119w      1 calls
| SAD Guess                         :      0.183u      0.000s      0.111w      1 calls
HF: Form G                          :      1.767u      0.000s      1.075w      8 calls
| UV: Form V                        :      1.750u      0.000s      1.067w      8 calls
| | Properties                      :      0.283u      0.000s      0.154w   5736 calls
| | Functional                      :      1.117u      0.000s      0.732w   5736 calls
| | V_xc                            :      0.317u      0.000s      0.168w   5736 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.017u      0.000s      0.007w      8 calls
| | JK: J                           :      0.000u      0.000s      0.000w      8 calls
| | | JK: J1                        :      0.000u      0.000s      0.000w     16 calls
| | | JK: J2                        :      0.000u      0.000s      0.000w     16 calls
| | JK: K                           :      0.017u      0.000s      0.002w      8 calls
| | | JK: K1                        :      0.017u      0.000s      0.002w     16 calls
| | | JK: K2                        :      0.000u      0.000s      0.000w     16 calls
| | JK: wK                          :      0.000u      0.000s      0.004w     16 calls
| | | JK: wK1                       :      0.000u      0.000s      0.004w     64 calls
| | | JK: wK2                       :      0.000u      0.000s      0.000w     32 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.003w      7 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.000w      7 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.000w      7 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      7 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      7 calls
| | New vector                      :      0.000u      0.000s      0.000w      7 calls
HF: Form C                          :      0.000u      0.000s      0.001w      7 calls

**************************************************************************************

Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 13:49:32 2020
Timers Off: Wed Feb  5 13:49:34 2020

Wall Time:        1.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.050u      0.000s      0.030w      1 calls
JK: (A|mn)                          :      0.000u      0.000s      0.004w      1 calls
JK: (A|Q)^-1/2                      :      0.033u      0.000s      0.021w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.000w      1 calls
