
Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 11:57:50 2020
Timers Off: Wed Feb  5 11:57:52 2020

Wall Time:        2.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: (A|mn)^R                        :      0.017u      0.000s      0.006w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.050u      0.000s      0.023w      8 calls
| JK: J                             :      0.000u      0.000s      0.001w      8 calls
| | JK: J1                          :      0.000u      0.000s      0.000w     16 calls
| | JK: J2                          :      0.000u      0.000s      0.000w     16 calls
| JK: K                             :      0.033u      0.000s      0.006w      8 calls
| | JK: K1                          :      0.033u      0.000s      0.005w     16 calls
| | JK: K2                          :      0.000u      0.000s      0.001w     16 calls
| JK: wK                            :      0.017u      0.000s      0.015w     24 calls
| | JK: wK1                         :      0.017u      0.000s      0.015w     96 calls
| | JK: wK2                         :      0.000u      0.000s      0.001w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
UV: Form V                          :      1.850u      0.017s      1.134w      8 calls
| Properties                        :      0.567u      0.000s      0.317w   4568 calls
| Functional                        :      0.917u      0.000s      0.559w   4568 calls
| V_xc                              :      0.350u      0.017s      0.247w   4568 calls

**************************************************************************************

Host: rh05314.villa-bosch.de

Timers On : Wed Feb  5 13:49:29 2020
Timers Off: Wed Feb  5 13:49:30 2020

Wall Time:        0.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.050u      0.000s      0.038w      2 calls
JK: (A|mn)                          :      0.017u      0.000s      0.009w      1 calls
JK: (A|Q)^-1/2                      :      0.033u      0.000s      0.021w      1 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)^L                        :      0.017u      0.000s      0.005w      1 calls
JK: (A|Q)^-1                        :      0.033u      0.000s      0.020w      1 calls
JK: (Q|mn)^L                        :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)^R                        :      0.000u      0.000s      0.006w      1 calls
JK: D                               :      0.000u      0.000s      0.000w      2 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      2 calls
JK: JK                              :      0.017u      0.000s      0.006w      2 calls
JK: J                               :      0.000u      0.000s      0.000w      2 calls
JK: J1                              :      0.000u      0.000s      0.000w      4 calls
JK: J2                              :      0.000u      0.000s      0.000w      4 calls
JK: K                               :      0.000u      0.000s      0.002w      2 calls
JK: K1                              :      0.000u      0.000s      0.001w      4 calls
JK: K2                              :      0.000u      0.000s      0.000w      4 calls
JK: wK                              :      0.017u      0.000s      0.004w      6 calls
